N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
0,14,56,10,53,46,66,42,62,75,27,38,35,57
14,0,42,16,39,32,60,36,48,69,13,30,41,51
56,42,0,50,31,18,54,32,26,63,29,24,47,45
10,16,50,0,53,40,76,52,56,85,23,46,25,67
53,39,31,53,0,13,37,29,57,58,30,15,78,26
46,32,18,40,13,0,36,22,44,51,19,8,65,27
66,60,54,76,37,36,0,24,80,21,53,30,101,11
42,36,32,52,29,22,24,0,56,33,29,14,77,15
62,48,26,56,57,44,80,56,0,89,35,50,53,71
75,69,63,85,58,51,21,33,89,0,62,43,110,32
27,13,29,23,30,19,53,29,35,62,0,23,48,44
38,30,24,46,15,8,30,14,50,43,23,0,71,21
35,41,47,25,78,65,101,77,53,110,48,71,0,92
57,51,45,67,26,27,11,15,71,32,44,21,92,0
